video,prompt
37ffde10a92c1a61f29d9083b193b9c6_cfr25.mp4,a person is talking
bdd12b05f40e04b1fa544ba4f3cfb1a8_cfr25.mp4,"The video shows a single male figure, a man in his forties with short, dark hair and a neutral skin tone, seated in a formal indoor setting with warm lighting, dressed in a dark suit and light-colored shirt, engaged in a serious conversation or listening intently as he makes subtle head turns and facial expressions. The room features wooden furniture and a door in the background, creating a professional atmosphere."
4ff1fd3f834265b645ce8ad81df19c14_cfr25.mp4,"The video shows a middle-aged man, dressed in a dark pinstripe suit, light blue shirt, and dark tie, seated in a formal indoor setting with wooden paneling, engaged in a serious conversation with one or more unseen individuals, as indicated by his animated hand gestures and subtle head movements."
e15b4f6e02a51163ad80aa68ec7f69d6_cfr25.mp4,"The video shows a single person, dressed in a dark suit, white shirt, and dark tie, standing upright and speaking or presenting in front of a plain curtain in a well-lit indoor setting. The individual's open mouth and slight head and shoulder movements convey a sense of engagement, while the neutral background and even lighting draw attention to the person in the center of the frame."
02098681be05e8aee260942b4f38a1e5_cfr25.mp4,a person is talking
d64fbbc1002bfb0ec5e2f03d690b95fc_cfr25.mp4,"A man with short dark hair and a friendly smile is seated in a cluttered office, wearing a navy blue hoodie over a burgundy shirt, engaged in a lively conversation with someone off-camera as he reacts with surprise and animation to an unexpected event. The office is cluttered with a coffee cup, a yellow thermos, and a black backpack, creating a casual yet busy atmosphere."
3e81f6b71bc30cd87c85902cd9ef1b96_cfr25.mp4,a person is talking
67b67da8718b7d0f9293c1d474a59780_cfr25.mp4,"The video shows a young man in his twenties with light skin and short, dark hair, dressed in a dark jacket over a lighter-colored shirt, sitting in a dimly lit indoor setting with a soft glow from a window with horizontal blinds in the background. He appears relaxed and engaged, with a slightly open mouth and attentive expression, as if listening to someone off-camera."
4a623218753876e25e97b7b49b339ac7_cfr25.mp4,"The video shows two men, one with dark hair and a receding-haired counterpart, seated in a dimly lit car, engaged in a serious conversation while dressed in dark suits, set against the backdrop of a graffiti-covered urban wall visible through the car window."
fbf0b7abe6a5c7aac3d25e5f93ce12c8_cfr25.mp4,"The video shows a single person, a blonde woman with curly hair and a red and white checkered outfit, speaking into a microphone in a formal setting, likely a television studio, with a stylized ""CBS"" backdrop. The woman's professional attire, complete with a red bow at the collar, adds to the sense of formality."
77101e904a02bc2c69c775c6df6d1ad8_cfr25.mp4,a person is talking
67db16e66f007e0a65513a76b17dcd99_cfr25.mp4,"The video shows a single male driver, with curly dark hair and a beard, wearing a black shirt and black gloves, navigating through a blurred landscape at dawn or dusk, his hands firmly on the steering wheel as he focuses on the road. The soft lighting and lack of other characters create a serene atmosphere, with the only movement coming from the blurred scenery outside the car window."
051a259f1de13cc1e123e1d8e7abc212_cfr25.mp4,"The video shows a single person, a woman with dark hair pulled back and wearing glasses and earrings, engaged in a focused conversation with a subtle, open-mouthed expression. She is situated in a warm, softly lit indoor setting, likely a close-up shot from a film or television scene."
96955ba246101c8a65a4130ae540a516_cfr25.mp4,"A woman with long, dark hair and bangs, dressed in a purple blouse, is seated in a calm office setting, engaged in a serious conversation or interview, using a small black object, likely a pen or smartphone, while making professional hand gestures. The office is characterized by soft lighting, shelves with binders and files, and a neutral atmosphere."
e385c5be8fe33131db28e0ac46a1ec6c_cfr25.mp4,"The video features a single middle-aged male, dressed in a formal suit and tie, standing upright with an open mouth and direct gaze, as if presenting or speaking. He is set against a calm, solid blue background, with no distracting movements or changes, allowing his professional demeanor to take center stage."
a7746b54e801ba4e420b7872af324e4a_cfr25.mp4,a person is talking
4125f30d6ee7077344330e40c075325a_cfr25.mp4,a person is talking
65a3e757fee547f8e694596c9712633f_cfr25.mp4,"A woman with shoulder-length brown hair and a pink t-shirt is seen in a series of static indoor settings, displaying concern or mild anxiety on her face. She is alone in each scene, with the 'Hibili' watermark visible, and her expressions and the unchanging indoor environment are the primary focus of the video."
13a6baebe59689f448d3b01c960da99d_cfr25.mp4,a person is talking
9e4228a31215a9c2b3c5dd7f075482f9_cfr25.mp4,"In the video, a single individual is seated at a bar, engaging in a leisurely activity as they peel a banana while holding a cup, wearing a colorful shirt and a dark cap, and listening to music or a podcast with headphones around their neck. The scene is set in a relaxed, social environment with a tiled wall and various bar items, such as bottles and a coffee machine, in the background."
256394ea5a5b57e1f7ba74becd125a45_cfr25.mp4,"The video shows a single elderly man with a white beard and hair, dressed in a light-colored shirt and dark suspenders, standing in a rustic outdoor setting with wooden structures, engaging in a subtle conversation or explanation with slight hand gestures. The calm atmosphere and soft lighting, possibly from late afternoon or early evening, create a serene ambiance as he stands amidst the natural surroundings."
0174938dd277b09b8dbda1d1ee456f85_cfr25.mp4,a person is talking
96aac737eade5fe1d958530547379684_cfr25.mp4,"The video shows a middle-aged individual, dressed in a dark suit, white shirt, and purple tie, seated in a dark leather armchair with a serious expression, engaged in a conversation or listening intently. The dimly lit indoor setting, possibly an office or formal room, highlights the person's face and the texture of the chair, with the background remaining out of focus."
ca391e8177c8e497207ee49234341297_cfr25.mp4,a person is talking
fa452d010c7575e3ef17547590dd200e_cfr25.mp4,a person is talking
3f2ad5b7a4b976d6c06e62531848a55c_cfr25.mp4,a person is talking
1d6f8a7a50e6c5f20975ba28a9cbc32b_cfr25.mp4,"The video shows a single woman, with short, dark hair and fair skin, seated in a warmly lit living room, wearing a dark jacket and a black top with a necklace, as she engages in a conversation or interview with slight changes in her posture and facial expressions. The cozy atmosphere is set against a backdrop of a lamp, a shelf with various items, and a relaxed ambiance."
43455c21a3d47a52f624db38e351d391_cfr25.mp4,"The video shows a single elderly woman, dressed in a white lace dress with ruffled shoulders and a large, patterned hat, engaging in a conversation or reacting to something with varying expressions in a dimly lit, possibly 19th-century-style room with wooden paneling."
c3a4c77f7f2e455c40da44652a490fa7_cfr25.mp4,"The video shows a single man, in his forties with a mustache, standing on a dirt road in a rural or desert setting, wearing a beige fedora hat, camouflage-patterned shirt, and a cross pendant necklace, as he engages in a phone conversation with a relaxed posture. The mountainous landscape stretches out behind him, illuminated by the bright daylight."
8456f623cc33ff7d864dbe68cd34a259_cfr25.mp4,"A middle-aged woman with long brown hair and bangs, dressed in a professional black blazer and white shirt, engages in a serious conversation with a blurred figure in a professional office setting, surrounded by a desk, lamp, and wall decorations. The woman's serious and attentive demeanor is evident in her expression and posture as she converses with the unseen individual."
748c99395c4be058605ae8403770b3ae_cfr25.mp4,"The video shows a single male character, a man in his forties with short, light brown hair and fair skin, engaging in a formal conversation while seated in a professional setting. He is dressed in a dark suit, striped shirt, and dark tie, and is surrounded by a patterned wallpaper and wooden paneling, making deliberate hand gestures to emphasize his points."
6f475b46e2c29888002a9919be1e9d0f_cfr25.mp4,"The video shows a single person, a hospital patient, lying in a bed, wearing a light-colored hospital gown and connected to medical equipment, engaged in a phone conversation while receiving oxygen and IV treatment in a plain, dark-colored hospital room. The patient's focus is on the phone in their right hand, with the surrounding medical equipment and hospital setting dominating the scene."
e499e8b8dbdde88356218881dac8d4e9_cfr25.mp4,"The video shows a single male figure, dressed in a white suit and black bow tie, engaging in a performance with slight head tilts and hand gestures as he holds a microphone close to his mouth. The dimly lit, warm-toned setting with hints of foliage suggests a formal and intimate indoor stage or performance space."
0a3bd263bf790d3ccdb0d59c405f6e99_cfr25.mp4,"The video shows two individuals, one with a bald head and a futuristic, armored purple suit with glowing elements, and the other with blonde hair, in a dimly lit indoor environment with industrial or technological hints, possibly a spaceship or high-tech facility. The two characters stand close together, engaged in a moment of quiet communication, their movements minimal as they focus on each other."
8bd79b96ac2c2d7f72bad84d8530a59a_cfr25.mp4,a person is talking
0a1d6352e24b311d7547b06a91d6d95a_cfr25.mp4,"The video shows a single male character, dressed in a dark suit, white shirt, and dark tie, standing in a dimly lit indoor setting with patterned wallpaper and a lamp, engaging in a serious conversation with an unseen person, his upright posture and hand gestures conveying attentiveness."
d06ad314ab0c12c4cbe0733aad42acaf_cfr25.mp4,a person is talking
a3e191b6cfbf63690736873951b1e4cc_cfr25.mp4,a person is talking
f12a502f5082be7461e416a8c27a7a12_cfr25.mp4,a person is talking
d042ce9d439d1b446427fd32541bbacf_cfr25.mp4,a person is talking
b06718c2e85d2c88c9826890539f08f3_cfr25.mp4,"The video shows a middle-aged man, dressed in a dark suit and light blue shirt, standing calmly in an office setting with a cityscape view through large windows in the background. He appears to be waiting or observing, his upright posture and stillness contrasting with the vibrant urban scene outside."
ce22932a70b1d0525cf655100aa70fb7_cfr25.mp4,"A middle-aged woman with graying hair and a warm smile is seated in front of a serene landscape painting, wearing a pink top under a beige cardigan and a turquoise necklace, as she engages in an animated conversation with the camera, her expressive hand gestures conveying her enthusiasm. The peaceful atmosphere is maintained by the calm background and her introspective demeanor."
c0fad6eb5f90b6b881950a57e89022da_cfr25.mp4,"The video shows a woman in her thirties with long, wavy blonde hair and fair skin tone, wearing a black sleeveless top, engaged in a conversation or interview in a dimly lit indoor setting with a door and notice board visible in the background. She stands upright with a focused expression, looking slightly to her right."
77fefbebfd0a5fa46805f54dcb54c08f_cfr25.mp4,"The video shows a woman in her forties or fifties, with blonde hair styled in loose waves and a fair skin tone, seated in a calm and professional indoor setting with a neutral color palette. She is wearing a black outfit and a white pearl necklace, engaged in a conversation with an unseen person, her posture and head tilt suggesting a focused discussion."
a77ec2c29743d40241f629ae84b852f4_cfr25.mp4,"The video shows a single male figure, a man in his forties with short, dark hair and fair skin, dressed in a formal checkered suit and bow tie, standing in a dimly lit indoor space with a blurred background of vertical lines, as he stands in contemplation with a serious expression."
c80d6cf401ba82e7f98c75cc4fc4fc01_cfr25.mp4,a person is talking
f2d702b659eb5c63075b05a629a4ca59_cfr25.mp4,a person is talking
22ed1e58906ec4090289d6f427fce228_cfr25.mp4,"A woman with shoulder-length brown hair and fair skin sits contemplatively on a grey couch, wearing a light pink silk pajama shirt with dark piping, as a man's arm rests behind her in a dimly lit room, exuding an intimate atmosphere. The woman's introspective expression is accompanied by the gentle presence of the man, suggesting a close relationship."
5651805215512f4fd89e4fbfe83e7341_cfr25.mp4,a person is talking
77e6ee1662b2aaca912607620611260b_cfr25.mp4,a person is talking
d90a42011b72703244bafb7f2d2d3e39_cfr25.mp4,a person is talking
f9c3ec8e6dd2ec885dcdacffe7b1f66d_cfr25.mp4,a person is talking
8bf713134c0194a2dd90d4d1dec39d76_cfr25.mp4,"The video shows a single older adult, likely in his sixties, seated in a dimly lit public transportation vehicle, slouched and holding a clear plastic bottle, dressed in a worn plaid shirt with a rugged appearance and unkempt hair. The surroundings, featuring a wooden-paneled wall and a partially visible sign, contribute to a somber atmosphere, suggesting a scene of quiet contemplation."
0c6ef48f0db7f1b40766142cfea36dea_cfr25.mp4,a person is talking
3f0290a4e5163c9771ea7207b72b62c3_cfr25.mp4,"The video shows a middle-aged man, likely in his forties or fifties, with gray hair and fair skin, seated in a formal setting, dressed in a dark suit, white shirt, and dark tie, engaged in a conversation or interview in a traditional, indoor room with a window partially covered by sheer curtains."
1a4e0e928c70434690d20278003907cc_cfr25.mp4,"A woman with shoulder-length brown hair and blue eyes stands alone in front of a vibrant red patterned wallpaper, wearing a black shirt and displaying a concerned expression. The static scene remains consistent throughout the video, with the woman's facial expression and the background remaining unchanged."
2ddf935620eed6030962ed600785502f_cfr25.mp4,"The video features a single woman, dressed in a vintage-style outfit, posing in a warmly lit, indoor setting with wooden furniture, exuding refined elegance and calm. She is seen in various leisurely poses, such as sitting and holding a cup, wearing a teal coat, white blouse, and elegant hat, with her fair skin and classic updo adding to her sophisticated appearance."
aa0b947e3d2a093cf17e7e1ad6656643_cfr25.mp4,a person is talking
b410eac33806465c67d7f9727bdd8f32_cfr25.mp4,a person is talking
7c2f85781a35df10159275c8832ef56f_cfr25.mp4,"The video shows a single person, a woman with long blonde hair, wearing a blue turtleneck and a dark, textured jacket, standing in a contemplative state with furrowed brows and an open mouth, as if mid-conversation. She is positioned in a dimly lit, indoor setting with a bright, colorful light source in the background, such as a screen or window with blinds, creating a calm yet tense atmosphere."
ac7a1d38bdc1a773fe929f60976b7146_cfr25.mp4,"The video shows a middle-aged man with gray hair and a beard, dressed in a brown jacket over a white shirt, sitting upright in a dimly lit interior space with an indistinct background, exuding a somber and contemplative atmosphere."
bff3358403c28b3c8846ab3844e25dcf_cfr25.mp4,a person is talking
68423491c5f94c9e5982e94ca0b19327_cfr25.mp4,"A woman with fair skin and brown hair sits at an office desk, dressed in a dark blue blazer and burgundy shirt, before standing and displaying a concerned expression as she engages with an unseen issue. The scene unfolds in a professional office setting, with a telephone and papers scattered in front of her."
bae847403d4c3234a4a3dd9f6ea139fa_cfr25.mp4,"The video shows two individuals in a softly lit, indoor setting: a woman in her thirties with dark brown hair and a floral dress, engaged in a phone conversation, and a partially out-of-focus man in his forties with a serious expression, standing nearby. The woman is dressed in a formal or semi-formal setting, possibly a party or gathering, with the man standing in the background, lost in thought."
5bd6b269852d5f59690c902611a0c08e_cfr25.mp4,"The video shows a single male figure, with dark hair and light skin, standing still against a dimly lit backdrop of horizontal wooden slats, wearing a dark jacket over a lighter-colored shirt. He stands upright with a neutral expression, his posture and facial features illuminated by soft shadows in a calm and static indoor setting."
494eaa83d17bb9cb1e3be8d678931d67_cfr25.mp4,a person is talking
a19ac57b4a9fa4a28c567e5cccde5bfc_cfr25.mp4,a person is talking
ee758965faa7b94993a93aa175da3c80_cfr25.mp4,"The video shows a middle-aged man in his forties, dressed in a dark suit and white shirt, gesturing emphatically as he engages in a phone conversation in a professional indoor setting, likely an office. The man, with dark hair and fair skin, stands out against a neutral-colored backdrop with partially visible blinds, exuding a focused and professional atmosphere."
3d8390bea11d7b71d0b79aade16ea303_cfr25.mp4,a person is talking
7da11423034d015ccc8ad2c0c322ce20_cfr25.mp4,a person is talking
062fa822b37a5e61b824e964371bce7d_cfr25.mp4,"The video shows a middle-aged man with gray hair and a serious expression, dressed in a dark suit and tie, seated and clasped hands, in a dimly lit indoor setting that appears to be an office or a minimalist room. The soft glow of a light source illuminates his face, casting a somber atmosphere."
798ac8d248e9703a77072a70aef1207c_cfr25.mp4,a person is talking
b6ac8513f5c72a3a0097d68821dd6436_cfr25.mp4,a person is talking
89cea9033d0b40e049f73e05fa15a1e6_cfr25.mp4,"A middle-aged man with short, dark hair and a light stubble is engaged in a serious conversation with an older man wearing glasses and a dark suit in a public or workplace setting, with a building and a car visible in the background. The two men stand facing each other, their expressions conveying a sense of focus and attention, amidst a static and unchanging environment."
8510e33768c88b31e188b12f61662adf_cfr25.mp4,a person is talking
84c632a06b518bcf961caecbf9395a5a_cfr25.mp4,a person is talking
74394008ec8a0577d93a05e952c5b88d_cfr25.mp4,a person is talking
7276bc723ea2abb2dac7562f81097db7_cfr25.mp4,a person is talking
80b549473c9fd2036c7958b91a9eea55_cfr25.mp4,"The video shows a single man in his forties, with short, dark hair and a focused expression, standing in the foreground of a bright and typical office environment. He is dressed in a dark jacket over a collared shirt, with a blurred background of a presentation screen and another person standing nearby, suggesting a professional setting."
a17f2aa366bd9dfc19b95feb1bc13387_cfr25.mp4,a person is talking
c95998de3b8e1445ccb10c91ac1a2685_cfr25.mp4,a person is talking
871e6da151e614eba405b6005aa1a711_cfr25.mp4,"A middle-aged individual with a mustache, wearing a dark-colored cap and jacket, sits relaxed in the driver's seat of a car, engaged in a conversation or listening intently. The car is parked in a residential neighborhood with greenery and a house in the background, illuminated by daytime lighting."
736fca30705981474c3f3f8dde3618d4_cfr25.mp4,a person is talking
e367786de3b0ccc2c5afdf6924fb9306_cfr25.mp4,"A middle-aged man with dark hair and a light complexion stands in front of a car, wearing a casual patterned button-up shirt and a gold chain necklace, engaged in a hushed conversation with an unseen person in a grassy outdoor area. His expression transitions from casual to serious as he stands near a parked car, the serene surroundings providing a stark contrast to the intensity of the conversation."
b7d9d917888e509053febd32ec71f192_cfr25.mp4,a person is talking
f2a7e4e22371721680fe81e060a12afe_cfr25.mp4,a person is talking
15d34ba12b7deb6b39b51cd551288169_cfr25.mp4,a person is talking
f61d6af7859a70d2d92b816b784c1e9d_cfr25.mp4,"The video shows a single male character, a middle-aged man with fair skin and dark hair, seated in a formal indoor setting, likely an office or a room with patterned wallpaper, wearing a dark suit, red tie, and matching pocket square, engaged in a conversation with an unseen person."
c4b75f9a0758d7d07bae43af20e9eca2_cfr25.mp4,"The video shows a single individual with pale blue skin and long blonde hair, dressed in a fluffy pink fur coat over a white high-collared garment, navigating a range of emotions as they move through a softly lit, domestic space filled with various items on a nearby shelf. The character's expressive face and the serene atmosphere of the indoor setting create a captivating scene."
f3cc3211b0e0f5d198ad04806e266ea9_cfr25.mp4,a person is talking
947f41e4e66fdbc493156cda008ac356_cfr25.mp4,"A woman with medium-length brown hair and green eyes is seen in a series of close-ups, her facial expressions changing from concern to surprise and back to concern as she stands in a blurred indoor setting, wearing a dark jacket over a light top."
08c81f46dc584716ef1857fc7ad69fdd_cfr25.mp4,"The video shows a middle-aged man, likely in his forties or fifties, with gray hair and fair skin, seated in a formal setting, dressed in a dark pinstripe suit, white shirt, and patterned tie, engaged in a conversation or interview in a room with patterned wallpaper and a wooden door."
f41c0c4395ca83a4112b76618c046511_cfr25.mp4,a person is talking
45b30fae70a991dfc999e6deafa0f3e6_cfr25.mp4,"A woman with short, wavy hair and fair skin is seen in three different office settings, each with a distinct sign: 'Data Center', 'Data Entry', and again 'Data Entry'. She is dressed in a red polka-dotted blouse and white blouse in the first scene, a red dress with a white collar and bow tie in the second and third scenes, with her hair styled differently in the third scene."
21a2b0f41bb4b8d86796879e7447f691_cfr25.mp4,a person is talking
58cb7e8cd8f2117a278db511dbfbacbd_cfr25.mp4,a person is talking
5233a5de444667e6ca28fb7080cbc9b1_cfr25.mp4,a person is talking
0817678bcb248aabd29ee42632615a20_cfr25.mp4,"The video shows a single individual, a woman in her thirties with shoulder-length dark hair and fair skin, sitting upright in a dimly lit room, wearing a dark-colored blazer, intensely focused on a large screen displaying a digital interface behind her. The control room-like environment is minimalist, with the woman's figure and the screen being the primary focal points."
d5e889a9b27c4be8b1197ad704625ea7_cfr25.mp4,a person is talking
f19668369308efadf2df4449a43d93f2_cfr25.mp4,"A young man with light brown hair and a contemplative expression sits indoors, wearing a stained black shirt with a red and blue American flag design, engaged in a casual conversation or interview. He is seated in a room with wall decorations, with a window in the background partially obscured by blinds, suggesting a quiet, indoor setting."
b0a6e62532def6e9464945893addf9a9_cfr25.mp4,a person is talking
850244f4f352a8150d4738b49a19a788_cfr25.mp4,"The video features a single male individual, likely in his forties or fifties, seated in a professional setting, engaged in a conversation or interview, dressed in a gray suit, blue sweater, and white shirt with a pink pocket square, while surrounded by bookshelves and a softly lit, blurred background that suggests an office or study room."
7e8ba8c1863a2672957974ac61c8a6ff_cfr25.mp4,a person is talking
4c5a54b00dc52aa6fa77456626257989_cfr25.mp4,"The video shows a single person, a woman with long, wavy red hair and a shiny peach-colored blazer, seated in a car at night, illuminated by a soft glow from an external light source, as she appears to engage in a conversation or listen intently with a relaxed posture. The dimly lit urban background is visible through the car's windows, with indistinct shapes and lights adding to the calm and intimate atmosphere."
9e3098b0f8a0eacae1a30a8d8c12934d_cfr25.mp4,a person is talking
53b660ca2988e249eb7d714af74a7888_cfr25.mp4,"The video shows a single person, a young woman with dark hair and fair skin, wearing a headband, sitting or standing in a warm-toned, indoor setting with a blurred background. She has a neutral expression and remains stationary throughout the close-up shot."
8c880446a79318c78cce0c4f8161ac7b_cfr25.mp4,a person is talking
7e0aedfc68dd32f2ba5d4dd1f37d2e37_cfr25.mp4,a person is talking
6280f39a10e07d6df30785a7201149fe_cfr25.mp4,a person is talking
04cbabcc062ca71a77fbf2bf591c8f26_cfr25.mp4,a person is talking
8e289bf020a299fd4c0a07183bfa9dff_cfr25.mp4,a person is talking
6d48a086508df97ff00515dd102184ec_cfr25.mp4,"A middle-aged woman with shoulder-length dark hair and fair skin is seen speaking to the camera in a formal setting, likely an office or public space, wearing a navy blue shirt and a gold necklace. She is the sole individual in the frame, standing in front of a neutral-toned background with a column, her expressions and gestures conveying a range of emotions as she speaks."
60f50d03a18bb51e6059d20fb5a9fb98_cfr25.mp4,a person is talking
be07fbbde828c36144c44910bee7bf3d_cfr25.mp4,a person is talking
19a5cd8cb765b097fccc51500c2a60d3_cfr25.mp4,"The video captures a close-up interaction between two individuals, a young man in a red, patterned garment and an older man in a light-colored shirt, as they engage in a serious conversation in a softly lit indoor setting. The young man, with light skin and short hair, is turned towards the older man, who has a darker skin tone and dark hair, their expressions conveying the intensity of their discussion."
bda1291c5765adffaff3fe92edfbb952_cfr25.mp4,"The video shows a close-up of a male individual with a mustache and glasses, wearing a dark-colored shirt, leaning forward in a dimly lit indoor setting with minimal background. The person's light skin tone and indistinct hair color are the only visible physical features, as the rest of their body is out of frame."
07dbd049b270f81359dc2c09dbe4d169_cfr25.mp4,"A man with a confident smile and neatly trimmed beard, dressed in a dark suit and checkered shirt, stands calmly in a hospital room surrounded by medical equipment, including an IV stand and a monitor, as he converses with a healthcare professional. The room's bright lighting and professional atmosphere create a sense of reassurance amidst the medical setting."
a1694f9e690b0dc3f365e7a139f559db_cfr25.mp4,a person is talking
11ee4f15e3a850dacb265dced3f61d67_cfr25.mp4,a person is talking
0eaab60a2d5f980cdf6fd014ab836cf8_cfr25.mp4,"The video shows a woman in her thirties, with dark, wavy hair and a yellow shirt with red trim, seated at a counter in a casual diner, engaged in a conversation or activity as she holds a piece of paper or a menu. She wears a necklace and multiple bracelets, and her relaxed posture suggests a friendly and informal atmosphere."
b86c9497bb73f6be48e9f13858ec9831_cfr25.mp4,"The video shows a single person, a woman with light skin and brown hair, sitting in a dimly lit room with wooden elements, wearing a dark top with a lighter-colored collar, as she stands upright with a contemplative expression. The soft, gentle lighting creates a calm and introspective atmosphere, with the woman's posture and tilted head suggesting she is engaged in a quiet moment of thought or conversation."
15a451afc0f130afe69c4fc788215cba_cfr25.mp4,a person is talking
1b8cd17813d0be1eb71fa05159161b24_cfr25.mp4,a person is talking
d0efb4f85af5afe47219aa9e4438e352_cfr25.mp4,a person is talking
346503d3258273118d0f6d763dce433f_cfr25.mp4,"The video features a young man with dark curly hair and a serious expression, seen in three different scenes: standing alone in an open field, engaging in a conversation with another person in a natural setting, and continuing the conversation with the same person in a similar environment. The man wears a dark button-up shirt throughout, while the second person remains out of view, and the blurred green landscape and foliage provide a serene background."
0c4e4812ecb218045264d1439df6c0d3_cfr25.mp4,a person is talking
abdf7c1b83715b603d7fedff3cddc4a9_cfr25.mp4,"A woman with shoulder-length brown hair and fair skin, dressed in a black judicial robe with a red collar, stands behind a wooden bench in a courtroom, delivering a serious speech with her hands clasped together. The formal setting features a wooden bench, a microphone, and a bottle of water, with a few other people in the background, likely spectators or court officials."
02fb19f9b7a42275c8eef5a75aaac1fe_cfr25.mp4,"The video shows a single person, a light-skinned individual with curly hair, wearing a purple top with a green trim, as they sit in a vehicle, navigating through a dimly lit evening or nighttime environment with greenery visible through the window. The person's expressions range from surprise to contemplation, captured in a series of candid moments during a personal, intimate car ride."
cd9365d3224ca968378e3e3e0950ea85_cfr25.mp4,"The video shows a woman with long, wavy, reddish-brown hair and fair skin, dressed in a casual outfit, likely indoors in a dimly lit room with a dark background. Her upper body is the main focus, with her face and hair taking center stage in the close-up shot."
f7181147a2e42b145923c3190f457700_cfr25.mp4,"The video shows a single middle-aged man, likely in his forties or fifties, dressed in a dark suit, checkered shirt, and tie, standing in a dimly lit office storage area with a blueish hue, his upright posture and contemplative expression suggesting focus."
c1ae40a203600f04dacdab6a7f48f804_cfr25.mp4,"The video features a single woman in her forties, with fair skin and dark hair, standing confidently in a dark background while delivering a speech or engaging in a conversation, her bright pink blazer and pearl jewelry standing out against the somber backdrop. She is the sole focus of the video, with her expressions and posture conveying her engagement in the conversation."
d73e00fd754997e68301d432d2f97e1d_cfr25.mp4,a person is talking
dbc67f6644b86aea6f531a0d60880755_cfr25.mp4,a person is talking
0c4d9621d1423bc1383a9f3b795dc4de_cfr25.mp4,a person is talking
8f219ee026e90b1bfa3be51763b2a61c_cfr25.mp4,"The video shows two individuals, a woman with long, dark hair wearing a green shirt and a partially visible man, engaged in a serious conversation in a dimly lit, minimally decorated indoor setting. The woman's concerned expression and the man's intent gaze create an intimate atmosphere as they focus on their discussion."
3c3f316c2da24312462ee03fd2b314f0_cfr25.mp4,"The video shows a middle-aged man, dressed in a dark suit, white shirt, and patterned purple tie, with a matching pocket square, as he moves through a modern office environment with glass walls and warm lighting, gesturing and speaking in various poses. The man, with a bald head and trimmed beard, is the central figure in the scene, surrounded by the subtle background activity of a corporate setting."
aa2d466dfdde4fd8f9d6bbafd9bf0ca3_cfr25.mp4,a person is talking
